CODE,aprcflag
2013.1.01095.S,U
2013.1.00042.S,U
2013.1.00666.S,U
2013.1.01348.S,U
2013.1.00531.S,U
2013.1.00334.S,U
2013.1.00372.S,U
2013.1.01023.S,U
2013.1.00130.S,U
2013.1.00766.S,U
2013.1.00340.S,U
2013.1.00716.S,U
2013.1.01320.S,U
2013.1.01152.S,U
2013.1.00554.S,U
2013.1.01071.S,U
2013.1.00425.S,U
2013.1.01006.S,U
2013.1.01269.S,U
2013.1.00761.S,U
2013.1.00089.S,U
2013.1.00687.T,U
2013.1.01125.S,U
2013.1.00274.S,U
2013.1.00363.S,U
2013.1.00629.S,U
2013.1.00763.S,U
2013.1.00104.S,U
2013.1.00320.S,U
2013.1.00378.S,U
2013.1.00344.S,U
2013.1.00288.S,U
2013.1.00958.S,U
2013.1.00508.S,U
2013.1.01185.S,U
2013.1.00648.S,U
2013.1.01257.S,U
2013.1.00310.S,U
2013.1.00943.S,U
2013.1.00908.S,U
2013.1.00608.S,U
2013.1.00635.S,U
2013.1.00038.S,U
2013.1.01375.S,U
2013.1.00289.S,U
2013.1.00306.S,U
2013.1.00603.S,U
2013.1.00424.S,U
2013.1.00314.S,U
2013.1.00981.S,U
2013.1.00676.T,U
2013.1.00388.S,U
2013.1.00696.T,U
2013.1.01047.S,U
2013.1.00275.S,U
2013.1.00699.S,U
2013.1.01189.S,U
2013.1.00949.S,U
2013.1.00175.S,U
2013.1.00240.S,U
2013.1.01009.S,U
2013.1.00679.S,U
2013.1.00669.S,U
2013.1.00675.S,U
2013.1.00400.S,U
2013.1.01394.S,U
2013.1.00827.S,U
2013.1.01056.S,U
2013.1.00723.S,U
2013.1.00894.S,U
2013.1.00610.S,U
2013.1.00207.S,U
2013.1.00986.S,U
2013.1.00559.S,U
2013.1.00292.S,U
2013.1.01235.S,U
2013.1.00614.S,U
2013.1.00052.S,U
2013.1.00495.S,U
2013.1.01309.S,U
2013.1.00948.S,U
2013.1.00992.S,U
2013.1.01084.S,U
2013.1.00689.S,U
2013.1.00117.S,U
2013.1.00406.S,U
2013.1.00108.S,U
2013.1.00587.S,U
2013.1.00715.S,U
2013.1.00845.S,U
2013.1.00197.S,U
2013.1.00542.S,U
2013.1.00980.S,U
2013.1.00348.S,U
2013.1.00802.S,U
2013.1.00509.S,U
2013.1.00007.S,U
2013.1.00924.S,U
2013.1.00713.S,U
2013.1.01318.S,U
2013.1.01322.S,U
2013.1.01019.S,U
2013.1.00946.S,U
2013.1.00485.S,U
2013.1.00756.T,U
2013.1.00898.S,U
2013.1.01212.S,U
2013.1.00753.S,U
2013.1.00905.S,U
2013.1.00850.S,U
2013.1.01124.S,U
2013.1.00871.S,U
2013.1.00892.S,U
2013.1.00533.S,U
2013.1.01097.S,U
2013.1.00075.S,U
2013.1.01256.S,U
2013.1.00444.S,U
2013.1.00213.S,U
2013.1.01181.S,U
2013.1.01154.S,U
2013.1.01324.S,U
2013.1.00544.S,U
2013.1.00733.S,U
2013.1.01280.S,U
2013.1.00626.S,U
2013.1.00931.S,U
2013.1.00538.T,U
2013.1.01261.S,U
2013.1.01059.S,U
2013.1.01311.S,U
2013.1.00979.S,U
2013.1.01272.S,U
2013.1.00638.S,U
2013.1.00755.T,U
2013.1.00785.S,U
2013.1.00436.S,U
2013.1.01356.S,U
2013.1.01326.S,U
2013.1.00819.S,U
2013.1.00543.S,U
2013.1.00391.S,U
2013.1.00811.S,U
2013.1.00882.S,U
2013.1.00791.S,U
2013.1.00098.S,U
2013.1.00341.S,U
2013.1.00643.S,U
2013.1.01074.S,U
2013.1.00821.S,U
2013.1.01001.S,U
2013.1.00549.S,U
2013.1.00232.S,U
2013.1.00421.S,U
2013.1.00590.S,U
2013.1.01116.S,U
2013.1.00933.S,U
2013.1.00971.S,U
2013.1.00101.S,U
2013.1.00124.S,U
2013.1.00856.S,U
2013.1.00125.S,U
2013.1.01316.S,U
2013.1.00842.S,U
2013.1.01205.S,U
2013.1.00654.S,U
2013.1.01297.S,U
2013.1.00703.S,U
2013.1.00915.S,U
2013.1.00825.S,U
2013.1.00580.S,U
2013.1.00442.S,U
2013.1.01138.S,U
2013.1.00185.S,U
2013.1.01298.S,U
2013.1.00420.S,U
2013.1.00036.S,U
2013.1.00739.S,U
2013.1.00068.S,U
2013.1.01260.S,U
2013.1.01101.S,U
2013.1.01093.S,U
2013.1.01069.S,U
2013.1.00408.S,U
2013.1.00496.S,U
2013.1.01150.S,U
2013.1.01338.S,U
2013.1.01345.S,U
2013.1.00702.S,U
2013.1.00864.S,U
2013.1.01143.S,U
2013.1.00283.S,U
2013.1.00321.T,U
2013.1.00790.S,U
2013.1.01216.S,U
2013.1.00707.S,U
2013.1.01354.S,U
2013.1.00204.S,U
2013.1.00304.S,U
2013.1.00540.S,U
2013.1.00102.S,U
2013.1.00816.S,U
2013.1.01026.S,U
2013.1.00401.S,U
2013.1.01355.S,U
2013.1.00065.T,U
2013.1.00564.S,U
2013.1.00422.S,U
2013.1.00200.S,U
2013.1.00633.S,U
2013.1.00869.S,U
2013.1.00985.S,U
2013.1.00711.S,U
2013.1.01164.T,U
2013.1.00768.S,U
2013.1.00507.S,U
2013.1.00161.S,U
2013.1.00475.S,U
2013.1.00577.S,U
2013.1.01221.S,U
2013.1.01201.S,U
2013.1.00318.S,U
2013.1.01040.S,U
2013.1.01083.S,U
2013.1.00685.S,U
2013.1.01123.S,U
2013.1.00757.S,U
2013.1.00529.S,U
2013.1.01130.S,U
2013.1.00701.S,U
2013.1.01334.S,U
2013.1.00413.S,U
2013.1.00022.S,U
2013.1.01088.S,U
2013.1.01285.S,U
2013.1.00345.S,U
2013.1.00503.S,U
2013.1.01249.S,U
2013.1.01390.S,U
2013.1.01240.S,U
2013.1.00142.S,U
2013.1.00480.S,U
2013.1.00002.S,U
2013.1.00084.S,U
2013.1.00028.S,U
2013.1.01127.S,U
2013.1.01186.S,U
2013.1.00782.S,U
2013.1.01265.S,U
2013.1.00219.S,U
2013.1.00961.S,U
2013.1.00762.S,U
2013.1.00651.S,U
2013.1.00547.S,U
2013.1.00081.S,U
2013.1.00772.S,U
2013.1.00253.S,U
2013.1.01259.S,U
2013.1.01171.S,U
2013.1.00127.S,U
2013.1.00964.S,U
2013.1.00551.S,U
2013.1.01254.S,U
2013.1.00641.S,U
2013.1.01106.S,U
2013.1.01103.S,U
2013.1.00010.S,U
2013.1.01378.T,U
2013.1.00805.S,U
2013.1.00333.S,U
2013.1.00631.S,U
2013.1.01236.S,U
2013.1.01372.S,U
2013.1.00019.S,U
2013.1.01073.S,U
2013.1.00128.S,U
2013.1.00225.S,U
2013.1.00656.S,U
2013.1.00478.S,U
2013.1.01319.S,U
2013.1.00371.S,U
2013.1.00389.S,U
2013.1.01336.S,U
2013.1.00909.S,U
2013.1.00514.S,U
2013.1.01382.S,U
2013.1.00522.S,U
2013.1.00731.S,U
2013.1.00575.S,U
2013.1.00990.S,U
2013.1.00263.S,U
2013.1.01275.S,U
2013.1.01027.S,U
2013.1.00024.S,U
2013.1.00655.S,U
2013.1.00242.S,U
2013.1.00506.S,U
2013.1.01191.S,U
2013.1.00303.S,U
2013.1.00405.S,U
2013.1.00860.S,U
2013.1.00895.S,U
2013.1.00083.S,U
2013.1.01287.S,U
2013.1.00653.S,U
2013.1.01209.S,U
2013.1.01096.S,U
2013.1.00090.S,U
2013.1.00585.S,U
2013.1.00520.S,U
2013.1.01032.S,U
2013.1.00536.S,U
2013.1.00203.S,U
2013.1.01347.T,U
2013.1.00268.S,U
2013.1.00799.S,U
2013.1.00903.S,U
2013.1.01160.S,U
2013.1.00925.S,U
2013.1.00473.S,U
2013.1.00665.S,U
2013.1.01107.S,U
2013.1.00548.S,U
2013.1.00693.S,U
2013.1.00317.S,U
2013.1.00193.S,U
2013.1.00847.S,U
2013.1.00776.S,U
2013.1.00390.S,U
2013.1.00555.S,U
2013.1.00113.S,U
2013.1.00797.S,U
2013.1.01371.S,U
2013.1.00906.S,U
2013.1.00567.S,U
2013.1.01002.S,U
2013.1.01234.S,U
2013.1.00744.S,U
2013.1.01015.S,U
2013.1.01024.S,U
2013.1.01121.S,U
2013.1.00336.S,U
2013.1.00613.S,U
2013.1.00472.S,U
2013.1.00215.S,U
2013.1.01060.S,U
2013.1.01112.S,U
2013.1.00435.S,U
2013.1.01339.S,U
2013.1.01062.S,U
2013.1.00137.S,U
2013.1.01148.S,U
2013.1.01253.S,U
2013.1.01122.S,U
2013.1.00944.S,U
2013.1.01159.S,U
2013.1.00690.S,U
2013.1.00657.S,U
2013.1.01238.S,U
2013.1.00873.S,U
2013.1.01144.S,U
2013.1.00483.S,U
2013.1.00026.T,U
2013.1.00066.S,U
2013.1.00006.S,U
2013.1.00644.S,U
2013.1.01021.S,U
2013.1.00972.T,U
2013.1.00545.S,U
2013.1.00794.S,U
2013.1.00392.S,U
