APRCRank,APRCGrade,CODE,PI,EXEC,SCICAT,BANDS,time12m_aprc,time7m_aprc,timeTP_aprc,timeNonStd_aprc,Proposal title
377,U,2015.1.00794.S,Rudnick Gregory,NA,1,46,3.4,0.0,0.0,0.0,End of an Era: Using CO excitation to understand the downfall of distant cluster galaxies
378,B,2015.1.01015.S,Bayo Amelia,CL,4,7,3.8,0.0,0.0,0.0,Resolving the debris disk and its structure around the young M dwarf TWA 7
379,C,2015.1.00483.S,Israel Frank,EU,2,763,10.3,2.1,2.3,0.0,The nature of the Centaurus A circumnuclear disk
380,C,2015.1.00440.S,Fenech Danielle,EU,5,3,3.2,0.0,0.0,0.0,Constraining the agents of change - the impact of clumpy winds on massive stellar evolution
381,C,2015.1.01510.S,Huard Tracy,NA,3,6,2.4,0.0,0.0,0.0,Very Low Luminosity Objects in Molecular Clouds
382,B,2015.1.00098.S,Kohno Kotaro,EA,1,6,44.4,0.0,0.0,0.0,ALMA deep survey on GOODS-S-JVLA field
383,B,2015.1.01597.S,Ishimoto Daiki,EA,4,87,1.8,0.0,0.0,1.0,Measuring Velocity Structure of MHD Wind from a Protoplanetary Disk
384,C,2015.1.00845.S,Favre Cecile,NA,3,4,8.8,0.0,0.0,0.0,An advanced method to detect complex molecules in protoplanetary disks
385,U,2015.1.01201.S,Tunnard Richard,EU,2,3,12.8,0.0,0.0,0.0,Breaking the Degeneracy
386,C,2015.1.01008.S,Megeath Tom,NA,3,6,1.3,2.5,5.0,0.0,Mapping Infall in Filamentary Environments:  A Study of three Orion Class 0 Protostars
387,U,2015.1.00362.S,Dipierro Giovanni,OTHER,4,67,0.8,0.0,0.0,0.4,Resolving gravitationally-induced spirals in WL12 Class I YSO
388,C,2015.1.01120.S,Guillard Pierre,EU,2,38,4.1,0.0,0.0,1.7,The role of cosmic rays regulating star formation in AGN
389,C,2015.1.01247.S,Banerji Manda,EU,1,3,5.5,0.0,0.0,0.0,Molecular Gas in Dusty Quasars: Fuelling the Formation of Massive Galaxies at z~2.5
390,B,2015.1.01379.S,Cassata Paolo,CL,1,63,3.2,0.0,0.0,0.0,Key laboratory for AGN feedback and spheroid formation: a moderately luminous AGN at z ~ 2
391,U,2015.1.00991.S,Butler Bryan,NA,4,6,2.5,0.0,0.0,2.5,First resolved thermal images of Pluto and Charon
392,C,2015.1.00882.S,Farrah Duncan,NA,2,76,1.9,0.0,0.0,0.0,Spatially Resolving the impact of an AGN wind on the CO gas reservoir in a luminous QSO
393,B,2015.1.01446.S,Takigawa Aki,EA,5,7,4.0,0.0,0.0,4.0,"Spatially resolved observation of SiO in the dust formation region around a silicate-poor and alumina-rich AGB star, W Hya"
394,C,2015.1.01253.S,Lackington Matias,EU,3,6,2.4,0.0,0.0,0.0,Deuteration in High Mass Star Formation
395,U,2015.1.00130.S,Decarli Roberto,EU,1,678,7.5,0.0,0.0,1.8,Ionized interstellar medium in highly star-forming galaxies at z > 2.9
396,U,2015.1.00255.S,Henshaw Jonathan,EU,3,7,2.0,4.0,8.0,0.0,Dissecting filaments with ALMA: Unveiling the dynamic properties of dense cores within a massive IRDC
397,C,2015.1.01090.S,Vayner Andrey,NA,2,746,4.5,0.0,0.0,0.0,Unique high resolution & multi-wavelength study of a z=1.4 quasar host galaxy
398,C,2015.1.00492.S,Beuther Henrik,EU,3,6,9.6,0.0,0.0,9.6,Magnetic field structure at the onset of high-mass star formation
399,U,2015.1.01282.S,Chapillon Edwige,EU,4,8,2.5,0.0,0.0,2.5,Characterizing the carbon content of protoplanetary disks: the search for CI
400,U,2015.1.01298.T,Boissier Jeremie,EU,4,8,2.7,0.0,0.0,2.7,The origin of comet water: HDO in bright comets
401,U,2015.1.00403.S,Norris Ray,OTHER,2,6,1.4,0.0,0.0,0.0,Forensic  pathology of the extreme ULIRG F00183-7111
402,U,2015.1.00693.S,Lacy Mark,NA,2,7,9.4,0.0,0.0,9.4,The AGN disk and outflow of NGC1068 revealed through polarised dust emission
403,B,2015.1.00463.S,Ouchi Masami,EA,1,6,6.7,0.0,0.0,0.0,Exploring the Earliest Epoch of the Massive Dust Production
404,U,2015.1.00010.S,Hodge Jacqueline,NA,1,7,15.8,0.0,0.0,0.0,ALESS in high-resolution: The nature of SMGs
405,U,2015.1.00046.S,Vlemmings Wouter,EU,5,6,2.1,0.0,0.0,1.2,The CO and dust morphology around the magnetic supergiant VX Sgr
406,U,2015.1.01167.S,Busquet Gemma,EU,3,6,4.6,0.0,0.0,4.6,What is controlling the fragmentation process?
407,C,2015.1.01151.S,Noble Allison,NA,1,3,13.3,0.0,0.0,0.0,The first glimpse of CO 2-1 in z=1.6 cluster galaxies
408,C,2015.1.00667.S,Wang Ke,EU,3,6,1.9,3.7,7.5,0.0,Mass assembly in the pre-stellar phase of high-mass star formation
409,C,2015.1.00392.S,Akeson Rachel,NA,4,6,4.8,0.0,0.0,0.0,Completing the disk census in Taurus
410,B,2015.1.00340.S,Tokuda Kazuki,EA,3,76,5.0,2.2,4.4,0.0,Investigating the dynamical interaction at the formation of a multiple star system
411,C,2015.1.01177.S,Longmore Steven,EU,2,36,5.5,4.0,8.0,0.0,Twins at heart? The centre of M83 as a Milky Way analogue
412,C,2015.1.01395.S,Imara Nia,NA,2,3,6.1,0.0,0.0,0.0,Resolving Molecular Clouds in a Low Metallicity Galaxy
413,U,2015.1.00836.S,Perez Sanchez Andres,OTHER,5,7,1.9,0.0,0.0,0.0,Unraveling the structure of Water fountain nebulae
414,U,2015.1.00365.S,Jones Tucker,NA,1,9,5.7,0.0,0.0,5.7,Probing the reionization era with ALMA: testing the utility of [O III] 88 micron emission
415,U,2015.1.01214.S,Huertas-Company Marc,EU,1,46,4.4,0.0,0.0,0.0,The birth of a massive spheroid
416,C,2015.1.00867.S,Pineda Jaime,EU,3,6,0.9,0.0,0.0,0.0,Methanol marks the spot: Gravitational heating in a quadruple system in formation
417,C,2015.1.00183.S,Kong Shuo,NA,3,6,8.4,0.0,0.0,0.0,The Pre-Stellar Core Mass Function with Deuterium Chemistry in an Infrared Dark Cloud
418,C,2015.1.00168.S,Blake Geoffrey,NA,4,7,7.2,0.0,0.0,0.0,"Volatiles in protoplanetary disks - Tracers of thermochemistry, and transport?"
419,U,2015.1.00460.S,Lewis Alex,EU,1,4,4.9,0.0,0.0,0.0,Confirmation of a massive proto-cluster of sub-mm galaxies at z~6 discovered by ALMA
420,C,2015.1.01572.S,Prandoni Isabella,EU,2,6,8.7,0.0,0.0,0.0,AGN Feedback and its Role in Galaxy Evolution: gas and stellar kinematics of radio-loud early-type galaxies 
421,B,2015.1.01020.S,Louvet Fabien,CL,3,6,6.2,0.0,0.0,6.2,Impact of magnetic field on high-mass star formation: the case study of the W43-MM1 pre/proto-stellar cluster
422,B,2015.1.00624.S,He Jinhua,CL,2,6,13.0,0.0,0.0,0.0,Map molecular cloud chemistry and turbulence across a spiral arm of M83
423,B,2015.1.00993.S,Michiyama Tomonari,EA,2,3,6.0,0.0,0.0,0.0,Chemical Composition in a Merging Galaxy NGC3256
424,B,2015.1.01210.S,Perez Sebastian,CL,4,6,1.7,0.0,0.0,0.0,Protolunar disks around directly imaged young exoplanets
425,U,2015.1.00608.S,Richards Anita,EU,5,876934,13.8,0.0,0.0,13.8,Water multi-maser revelations will define warm gas properties
426,U,2015.1.01381.S,Hogerheijde Michiel,EU,4,8,14.7,0.0,0.0,14.7,First limits on water deuteration in planet-forming disks
427,C,2015.1.00094.S,Dunham Michael,NA,3,3,6.1,12.3,0.0,0.0,Surveying the Seeds of Star Formation: Starless Cores in Orion B North
428,U,2015.1.00721.T,Berger Edo,NA,1,3,9.5,0.0,0.0,0.0,Gamma-ray Burst Physics with ALMA:  Direct Implications for the Explosions and Progenitors
429,C,2015.1.00606.S,Willott Chris,NA,1,6,6.3,0.0,0.0,0.0,Redshift 6 host galaxies of 10^8 solar mass black holes
