CODE	Executive	SB_name	SB_uid	State	Priority	Array	reqExecs	qaa	qab	status	
2012.1.00826.S	EU 	Group1_TP_ampcal_B7 	uid://A002/X6dddc4/X48 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00826.S	EU 	Group1_TP_science_B7 	uid://A002/X6dddc4/X49 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00826.S	EU 	Group2_TP_ampcal_B7 	uid://A002/X6dddc4/X4c 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00826.S	EU 	Group2_TP_science_B7 	uid://A002/X6dddc4/X4d 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00837.S	NA 	2A0335_111_12m_C32-5 	uid://A002/X5d50dc/X16 	READY 	HIGHEST 	C32-5 	2 	0 	0	Carry over	
2012.1.00837.S	NA 	2A0335_334_12m_C32-6 	uid://A002/X5d50dc/X18 	READY 	HIGHEST 	C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00837.S	NA 	PKS0745_313_12m_C32-6 	uid://A002/X5d50dc/X19 	READY 	HIGHEST 	C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00844.S	EU 	SPT_tuning1 	uid://A002/X5a9a13/X545 	READY 	HIGHEST 	C32-1,C32-2 	3 	2 	2	Carry over	
2012.1.00844.S	EU 	SPT_tuning5 	uid://A002/X5a9a13/X549 	READY 	HIGHEST 	C32-1,C32-2 	2 	1 	1	Carry over	
2012.1.00853.S	NA 	Io_345 	uid://A002/X5a279f/X1 	READY 	HIGHEST 	C32-6 	3 	0 	0	Carry over	
