paramRef,paramRef,SB_UID,parName,representative_bw,sensitivy,sensUnit,intTime,subScanDur
X11850744,X11850744,uid://A001/X2c0/X258d,Science Params,0.00023048684472953888,8.0,mJy,544.2199999999999,30.24
X975997,X975997,uid://A001/X2c0/X258e,Science Params,0.00023048684472953888,8.0,mJy,272.05999999999995,30.24
X21709455,X21709455,uid://A001/X2c0/X258f,Science Params,0.005394415872798674,263.0,mJy,423.25999999999993,30.24
X7319753,X7319753,uid://A001/X2c0/X2590,Science Params,0.005394415872798674,263.0,mJy,846.6199999999999,30.24
X13851818,X13851818,uid://A001/X2c0/X2591,Science Params,0.00023048684472953888,8.0,mJy,544.2199999999999,30.24
X11618210,X11618210,uid://A001/X2c0/X2592,Science Params,0.00023048684472953888,8.0,mJy,272.05999999999995,30.24
X15361506,X15361506,uid://A001/X2c0/X2593,Science Params,0.005394415872798674,184.0,mJy,846.6199999999999,30.24
X18752440,X18752440,uid://A001/X2c0/X2594,Science Params,0.005394415872798674,184.0,mJy,1693.34,30.24
X13223499,X13223499,uid://A001/X2c0/X37af,Science Params,0.00375899381042649,1.22653,mJy,2781.98,30.24
X27585376,X27585376,uid://A001/X2c0/X37b0,Science Params,0.0037512742304909212,1.2215,mJy,2721.4999999999995,30.24
X1893726,X1893726,uid://A001/X2c0/X37b1,Science Params,0.003770305955711147,1.23393,mJy,2661.02,30.24
X28279673,X28279673,uid://A001/X2c0/X37ba,Science Params,0.0003,3.1,mJy,2872.7,30.24
X22872377,X22872377,uid://A001/X2c0/X338c,Science Params,7.5,0.07999999999999999,mJy,393.02,30.24
