targetId,targetId,SB_UID,specRef,fieldRef,paramRef
X2185686,X2185686,uid://A001/X2c0/X273f,X33492215,X15452697,X26554532
X26976978,X26976978,uid://A001/X2c0/X273f,X33492215,X14156476,X3077380
X8443901,X8443901,uid://A001/X2c0/X273f,X33492215,X8413703,X1201931
X10036491,X10036491,uid://A001/X2c0/X273f,X33492215,X11526847,X16919379
X20486148,X20486148,uid://A001/X2c0/X2740,X28989811,X22351541,X18945146
X4197763,X4197763,uid://A001/X2c0/X2740,X28989811,X26824629,X18435721
X32202609,X32202609,uid://A001/X2c0/X2740,X23207860,X3841100,X13965436
X2753584,X2753584,uid://A001/X2c0/X2740,X23207860,X28118246,X8298532
X17663961,X17663961,uid://A001/X2c0/X2740,X23207860,X1358640,X26696687
X21289090,X21289090,uid://A001/X2c0/X2740,X23207860,X13502792,X11549355
X12358785,X12358785,uid://A001/X2c0/X2740,X23207860,X18526556,X22454846
X20066586,X20066586,uid://A001/X2c0/X2741,X7570765,X1157141,X23739149
X4516957,X4516957,uid://A001/X2c0/X2741,X7570765,X31989479,X9829683
X8995526,X8995526,uid://A001/X2c0/X2741,X25440078,X21931601,X22964539
X33533417,X33533417,uid://A001/X2c0/X2741,X25440078,X26349221,X27536690
X20753041,X20753041,uid://A001/X2c0/X2741,X25440078,X30558986,X2537317
X33314223,X33314223,uid://A001/X2c0/X2741,X25440078,X29420759,X4028079
X15252477,X15252477,uid://A001/X2c0/X2741,X25440078,X9946478,X33114615
X13510482,X13510482,uid://A001/X2c0/X415c,X5336580,X32525064,X8284150
X4388791,X4388791,uid://A001/X2c0/X415c,X5336580,X12609875,X6902457
X33194405,X33194405,uid://A001/X2c0/X415c,X20991830,X5418359,X22696031
X1586734,X1586734,uid://A001/X2c0/X415c,X20991830,X29683398,X16414622
X30334664,X30334664,uid://A001/X2c0/X415c,X20991830,X28581069,X29463398
X23878714,X23878714,uid://A001/X2c0/X415c,X8857483,X28477935,X1098686
X12246258,X12246258,uid://A001/X2c0/X388a,X31462806,X2745855,X29901545
X6530492,X6530492,uid://A001/X2c0/X388a,X31462806,X32233166,X26944776
X14395309,X14395309,uid://A001/X2c0/X388a,X11802684,X705605,X8283336
X30120411,X30120411,uid://A001/X2c0/X388a,X11802684,X3082323,X10465462
X1848028,X1848028,uid://A001/X2c0/X388a,X11802684,X3082323,X13979965
X9373354,X9373354,uid://A001/X2c0/X388a,X11802684,X18964890,X2460761
X23684794,X23684794,uid://A001/X2c0/X388a,X11802684,X20311437,X4103747
X6289117,X6289117,uid://A001/X2c0/X388b,X13075886,X6039652,X690566
X33255129,X33255129,uid://A001/X2c0/X388b,X13075886,X26546854,X18440339
X32862916,X32862916,uid://A001/X2c0/X388b,X32426236,X21110482,X20015725
X17957532,X17957532,uid://A001/X2c0/X388b,X32426236,X7074511,X29124083
X18293630,X18293630,uid://A001/X2c0/X388b,X32426236,X7074511,X5883364
X29716812,X29716812,uid://A001/X2c0/X388b,X32426236,X28495184,X15857547
X16088577,X16088577,uid://A001/X2c0/X388b,X32426236,X8511780,X31323115
X22361885,X22361885,uid://A001/X2c0/X388c,X24629325,X3223610,X25821109
X15673734,X15673734,uid://A001/X2c0/X388c,X24629325,X14676878,X7629023
X25342613,X25342613,uid://A001/X2c0/X388c,X9755377,X18067436,X7873100
X15765299,X15765299,uid://A001/X2c0/X388c,X9755377,X10658018,X22184243
X23478451,X23478451,uid://A001/X2c0/X388c,X9755377,X10658018,X16559780
X1299259,X1299259,uid://A001/X2c0/X388c,X9755377,X10275835,X16792800
X11734607,X11734607,uid://A001/X2c0/X388c,X9755377,X18690331,X880676
X15720378,X15720378,uid://A001/X2c0/X388d,X25769008,X116729,X19824595
X26544451,X26544451,uid://A001/X2c0/X388d,X25769008,X24947294,X28960488
X26586011,X26586011,uid://A001/X2c0/X388d,X19989542,X17312849,X28985574
X33433225,X33433225,uid://A001/X2c0/X388d,X19989542,X18830563,X30114584
X6059689,X6059689,uid://A001/X2c0/X388d,X19989542,X18830563,X27508652
X23470002,X23470002,uid://A001/X2c0/X388d,X19989542,X11439091,X18134488
X2131471,X2131471,uid://A001/X2c0/X388d,X19989542,X5338815,X18923531
X28826417,X28826417,uid://A001/X2c0/X388e,X32664263,X15072959,X22747365
X9224035,X9224035,uid://A001/X2c0/X388e,X32664263,X22592442,X9288136
X29549134,X29549134,uid://A001/X2c0/X388e,X17151682,X23685712,X15054685
X18711262,X18711262,uid://A001/X2c0/X388e,X17151682,X15757142,X24689434
X33047395,X33047395,uid://A001/X2c0/X388e,X17151682,X15757142,X21476013
X28880096,X28880096,uid://A001/X2c0/X388e,X17151682,X2964458,X22663942
X26645024,X26645024,uid://A001/X2c0/X388e,X17151682,X18512914,X14129180
X25601446,X25601446,uid://A001/X2c0/X388f,X25144647,X20840528,X2895390
X3591652,X3591652,uid://A001/X2c0/X388f,X25144647,X8071884,X1029107
X4070301,X4070301,uid://A001/X2c0/X388f,X19305357,X8714771,X29410308
X28537502,X28537502,uid://A001/X2c0/X388f,X19305357,X12507496,X9381356
X26743930,X26743930,uid://A001/X2c0/X388f,X19305357,X12507496,X17041276
X7381053,X7381053,uid://A001/X2c0/X388f,X19305357,X18699243,X31585042
X28397743,X28397743,uid://A001/X2c0/X388f,X19305357,X10693988,X1159746
X11954813,X11954813,uid://A001/X2c0/X3890,X28149800,X22786260,X11987476
X14343920,X14343920,uid://A001/X2c0/X3890,X28149800,X1044999,X8115384
X25264021,X25264021,uid://A001/X2c0/X3890,X5037442,X346890,X26231452
X1898062,X1898062,uid://A001/X2c0/X3890,X5037442,X22601988,X4308021
X19549626,X19549626,uid://A001/X2c0/X3890,X5037442,X22601988,X14912010
