targetId,targetId,SB_UID,indObs,name
X23226466,X23226466,uid://A001/X2c0/X2213,0,Calibrators
X23751673,X23751673,uid://A001/X2c0/X2213,0,Science
X33444061,X33444061,uid://A001/X2c0/X2213,0,Science
X595578,X595578,uid://A001/X2c0/X2213,0,Science
X512379,X512379,uid://A001/X2c0/X353c,0,Calibrators
X5359004,X5359004,uid://A001/X2c0/X353c,0,Calibrators
X10932375,X10932375,uid://A001/X2c0/X353c,0,Calibrators
X29644985,X29644985,uid://A001/X2c0/X353c,0,Science
X32338004,X32338004,uid://A001/X2c0/X353c,0,Science
X29284505,X29284505,uid://A001/X2c0/X353c,0,Science
X21653709,X21653709,uid://A001/X2c0/X353c,0,Science
X31006406,X31006406,uid://A001/X2c0/X353d,0,Calibrators
X19797251,X19797251,uid://A001/X2c0/X353d,0,Calibrators
X29620081,X29620081,uid://A001/X2c0/X353d,0,Calibrators
X21686184,X21686184,uid://A001/X2c0/X353d,0,Science
X9210299,X9210299,uid://A001/X2c0/X353d,0,Science
X32923445,X32923445,uid://A001/X2c0/X353d,0,Science
X28829939,X28829939,uid://A001/X2c0/X353d,0,Science
X25682599,X25682599,uid://A001/X2c0/X353e,0,Calibrators
X30551724,X30551724,uid://A001/X2c0/X353e,0,Calibrators
X22858321,X22858321,uid://A001/X2c0/X353e,0,Calibrators
X19593688,X19593688,uid://A001/X2c0/X353e,0,Science
X19724379,X19724379,uid://A001/X2c0/X353e,0,Science
X23947251,X23947251,uid://A001/X2c0/X353e,0,Science
X12272430,X12272430,uid://A001/X2c0/X353e,0,Science
X15394722,X15394722,uid://A001/X2c0/X3342,0,Calibrators
X1852060,X1852060,uid://A001/X2c0/X3342,0,Calibrators
X6162319,X6162319,uid://A001/X2c0/X3342,0,Calibrators
X20700012,X20700012,uid://A001/X2c0/X3342,0,Science
X29750782,X29750782,uid://A001/X2c0/X3342,0,Science
X21654061,X21654061,uid://A001/X2c0/X3342,0,Science
X30162308,X30162308,uid://A001/X2c0/X3343,0,Calibrators
X5914542,X5914542,uid://A001/X2c0/X3343,0,Calibrators
X14156841,X14156841,uid://A001/X2c0/X3343,0,Calibrators
X8789656,X8789656,uid://A001/X2c0/X3343,0,Science
X19663420,X19663420,uid://A001/X2c0/X3343,0,Science
X22645793,X22645793,uid://A001/X2c0/X3343,0,Science
